amount,time,is_fraud
93.85361799537182,4.44,0
602.0242861835042,13.01,0
263.34913870908986,20.95,0
182.58851075519064,17.57,0
33.924974092469256,19.36,0
33.919258382921036,15.81,0
11.967753721736134,16.61,0
402.2461728959879,20.38,0
183.8164307254529,5.99,0
246.25001234091803,11.75,0
4.159861599827725,5.31,0
700.7114950316624,23.7,0
357.285908670935,22.66,0
47.7375250497894,0.95,0
40.13579774993267,16.93,0
40.52228456645141,22.21,0
72.55074589209542,4.33,0
148.7855661721709,13.63,0
113.10741335606733,21.97,0
68.8445985107883,0.81,0
189.27417477995976,16.74,0
30.046905745467733,7.14,0
69.10310240048045,22.19,0
91.2554436441694,23.31,0
121.78693757195501,22.66,0
307.5872022061824,11.38,0
44.547172425738054,20.69,0
144.40583100662553,20.27,0
179.5009442619521,7.66,0
9.51276995128171,19.89,0
187.066604129922,0.89,0
37.39225039548329,14.31,0
13.452786175860846,5.52,0
594.7375587013862,2.89,0
674.1260684922345,1.85,0
330.46631456257535,16.71,0
72.65757199375166,8.16,0
20.55546300050125,17.39,0
230.5501526197324,1.57,0
116.01816851707969,7.57,0
26.030446790889727,12.95,0
136.70944562683002,18.98,0
6.998744288695818,7.65,0
480.0845774786048,15.02,0
59.89155536813721,21.26,0
217.25115971299607,14.78,0
74.70931633152473,5.59,0
146.8221791818457,0.59,0
158.2447595963595,20.88,0
40.87771990158115,0.51,0
698.5614265472453,20.99,0
298.44907542762815,12.69,0
561.0188838583165,22.54,0
450.4303995068393,19.17,0
182.210882476655,23.95,0
509.88707585388096,8.42,0
18.531091790623126,18.41,0
43.62693892625349,9.65,0
9.256393137366391,11.52,0
78.70641736061737,15.06,0
98.42605835884373,20.97,0
63.31208864176514,23.62,0
352.91157304818677,18.44,0
88.24539990597403,10.03,0
65.96056802684984,10.11,0
156.4814166415492,17.7,0
30.379629564125775,5.73,0
324.09671915494624,2.65,0
15.495173762261802,8.51,0
866.8292679174638,6.89,0
295.89675524830227,7.11,0
44.30788810117719,5.61,0
1.107484075187095,1.01,0
337.9793554972252,0.43,0
245.41918147740893,23.71,0
261.1325817575998,10.27,0
295.0429052087027,9.22,0
15.38585310275927,16.31,0
88.7785344832465,5.24,0
24.63002092088993,22.8,0
397.70591433164446,18.87,0
195.26023834247482,2.15,0
80.3637602502602,10.02,0
13.133613160956578,21.1,0
74.49767008207074,22.67,0
78.66284263682627,11.22,0
261.5751567915482,14.72,0
202.977871785204,4.01,0
436.45038248030295,23.79,0
127.81322667526196,5.56,0
25.47447872310038,22.63,0
249.82526886331988,15.59,0
286.0785506153728,14.59,0
164.77749897716575,12.3,0
294.7779933442729,5.54,0
136.1629463020556,4.24,0
147.9357677554534,5.29,0
111.56283878168546,4.47,0
5.149554798022746,18.71,0
22.833487038373168,8.4,0
6.386736258610764,1.39,0
202.3459101855099,23.26,0
75.47934175901997,21.21,0
142.08743542683803,22.27,0
476.2531059691951,23.88,0
57.347764596659665,4.17,0
105.65639497653451,9.51,0
281.7498295077167,18.2,0
51.961031383478804,16.7,0
16.020855710035274,3.69,0
68.42806077741142,19.58,0
35.16167170001257,5.39,0
530.990017176125,5.37,0
330.1774160969139,12.89,0
200.6988381041062,14.23,0
410.30394610416255,13.92,0
325.5937881481113,2.2,0
41.299095271727815,21.06,0
446.1626810471122,6.37,0
155.0199803932344,3.11,0
329.46965826071323,21.33,0
452.84852985724626,22.94,0
76.5461432836637,20.69,0
23.318432024770168,19.43,0
51.73734922787627,15.73,0
111.41153854972288,13.22,0
340.765945327789,2.09,0
394.26899437596666,9.8,0
1.3952818363301294,8.94,0
142.97523186771116,6.23,0
108.05466418373426,17.36,0
50.2334676551649,11.9,0
25.536078309129365,1.95,0
82.38171597248649,5.28,0
572.6242245382299,16.4,0
78.07676057629487,1.83,0
146.2905611520304,20.43,0
242.81739537617094,11.88,0
90.39489979339247,11.53,0
713.5596276583399,14.22,0
656.4019729082796,19.79,0
58.012258998441055,8.35,0
137.53185569276945,16.27,0
71.58609201580936,13.58,0
67.04993527621635,6.41,0
7.516895553104506,21.09,0
188.09841419651863,19.14,0
139.7039265659277,15.8,0
10.570217476078495,20.41,0
65.32518420207387,20.82,0
477.77219021786806,17.0,0
54.77211042841541,20.09,0
31.306172197093954,16.74,0
134.45442189472726,16.32,0
848.807396523052,14.85,0
55.42896271194524,18.07,0
223.0310020594587,3.81,0
286.7775252478926,21.14,0
54.266634467161154,20.92,0
260.5497856984632,0.7,0
91.7045598528608,19.82,0
200.10074954635425,3.09,0
200.76756542752761,8.04,0
153.47704999046977,17.84,0
18.92583176232419,3.86,0
360.7289588492594,19.63,0
77.36205873347932,19.97,0
41.286421321511305,12.18,0
8.325951958869041,0.15,0
178.75568091891668,6.89,0
226.3703468534698,14.81,0
3.3453895116941235,23.55,0
143.52611690989767,15.16,0
51.364829410991526,6.24,0
207.22486830953838,15.22,0
38.32084450782675,12.96,0
234.8425055135438,18.72,0
97.79174019622037,2.57,0
552.0687635608614,18.26,0
29.58888268785579,12.99,0
83.42648679903435,23.11,0
24.08885700739928,8.2,0
517.2380794301447,15.18,0
419.6667414321989,22.37,0
59.66547401229778,2.46,0
215.7525478087829,22.49,0
339.89681452784424,16.51,0
162.02647213730162,1.63,0
150.85588203878922,7.22,0
55.37540908758063,17.0,0
19.545228094988147,1.62,0
455.0246450389045,13.97,0
461.35488552968536,8.3,0
200.53398389657693,14.9,0
82.80930196226478,1.1,0
85.91352316232879,20.92,0
258.8930859454236,23.36,0
454.8194698214504,23.25,0
436.2265138793227,17.99,0
302.7124383861806,3.12,0
205.46213871354098,18.2,0
17.578345239216812,0.59,0
35.2588429366823,0.53,0
457.64610003550115,7.77,0
186.4987893931179,11.73,0
1.8479211221988818,18.49,0
21.399380287189864,16.4,0
217.83247745804823,10.7,0
1.0148874103594006,6.57,0
35.06316322083981,23.93,0
159.13956922778632,10.23,0
235.46305733096256,10.83,0
211.08829642704973,3.93,0
50.789973461604895,19.08,0
249.08345777970777,16.65,0
54.164751810561185,5.3,0
78.72698178361689,1.98,0
274.4715103331581,16.33,0
209.75476286055363,15.71,0
378.3912154926802,6.56,0
214.3626576339525,22.82,0
168.0088611174515,3.63,0
19.671412289682095,10.38,0
91.68326144140401,22.65,0
61.63202957176624,10.07,0
55.94004073248425,15.32,0
722.4618812325851,9.54,0
99.87749940800477,6.58,0
445.2110422497046,23.62,0
199.46687714729663,9.82,0
